val loss2,step,val_SSIM,epoch,val loss,val_PSNR,val loss1,train loss,train loss2,train loss1
0.14076805114746094,48,0.010409003123641014,0,0.38546445965766907,8.516493797302246,0.24469640851020813,,,
,48,,0,,,,0.4685977101325989,0.19370757043361664,0.27489015460014343
0.15153256058692932,97,0.009201976470649242,1,0.20600402355194092,8.196043968200684,0.0544714629650116,,,
,97,,1,,,,0.30938971042633057,0.15404166281223297,0.1553480327129364
0.048281677067279816,146,0.015696870163083076,2,0.07796673476696014,13.163812637329102,0.02968505583703518,,,
,146,,2,,,,0.1387031078338623,0.10287529230117798,0.03582783043384552
