epoch,val loss2,val loss1,val_SSIM,val_PSNR,val SSIM,step,val loss,train loss2,train loss,train loss1
0,0.140917107462883,0.24469640851020813,0.010470368899405003,8.511981964111328,0.010470368899405003,48,0.38561350107192993,,,
0,,,,,,48,,0.19365310668945312,0.46854323148727417,0.27489015460014343
1,0.15125919878482819,0.054471470415592194,0.009193859063088894,8.204014778137207,0.009193859063088894,97,0.20573067665100098,,,
1,,,,,,97,,0.15391038358211517,0.30925846099853516,0.1553480327129364
2,0.04791697859764099,0.029684927314519882,0.01638251729309559,13.196776390075684,0.01638251729309559,146,0.07760190218687057,,,
2,,,,,,146,,0.10261420160531998,0.1384420245885849,0.035827819257974625
