val_PSNR,val_SSIM,val loss,val loss2,val loss1,epoch,step,train loss2,train loss,train loss1
8.51033878326416,0.010453754104673862,0.3856631815433502,0.1409667581319809,0.24469640851020813,0,48,,,
,,,,,0,48,0.19381363689899445,0.4687037467956543,0.27489015460014343
8.185894012451172,0.009188083000481129,0.2063596099615097,0.15188813209533691,0.0544714629650116,1,97,,,
,,,,,1,97,0.1541484147310257,0.3094964325428009,0.1553480327129364
13.161993980407715,0.016107654199004173,0.07798601686954498,0.048301272094249725,0.029684748500585556,2,146,,,
,,,,,2,146,0.10270266979932785,0.13853049278259277,0.03582780808210373
