val_loss,epoch,val_loss1,val_loss2,val_SSIM,step,val_PSNR,train_loss1,train_loss2,train_loss,test_SSIM,test_loss,test_loss1,test_PSNR,test_loss2
0.561222493648529,0,0.27475786209106445,0.2864646315574646,0.007984458468854427,1,5.429290294647217,,,,,,,,
,0,,,,1,,0.2868725061416626,0.27019116282463074,0.557063639163971,,,,,
0.5753623247146606,1,0.25812438130378723,0.3172379732131958,0.007869558408856392,3,4.986147880554199,,,,,,,,
,1,,,,3,,0.2729230523109436,0.2892180383205414,0.5621411204338074,,,,,
0.5866029262542725,2,0.23649539053440094,0.3501075208187103,0.007876096293330193,5,4.557985305786133,,,,,,,,
,2,,,,5,,0.2553052306175232,0.30002355575561523,0.5553287863731384,,,,,
0.6188384294509888,3,0.20675648748874664,0.4120819568634033,0.0077734156511723995,7,3.850163698196411,,,,,,,,
,3,,,,7,,0.23206298053264618,0.32499268651008606,0.557055652141571,,,,,
0.6094863414764404,4,0.16513831913471222,0.444348007440567,0.008009162731468678,9,3.5227670669555664,,,,,,,,
,4,,,,9,,0.19943086802959442,0.3682602345943451,0.5676910877227783,,,,,
,5,,,,10,,,,,0.008049940690398216,0.6103601455688477,0.166014164686203,3.52278733253479,0.44434604048728943
