step,val_loss2,val_PSNR,val_loss,epoch,val_SSIM,val_loss1,train loss1,train loss,train loss2
48,0.14067262411117554,8.519416809082031,0.38536906242370605,0,0.010421515442430973,0.24469640851020813,,,
48,,,,0,,,0.27489015460014343,0.4685961604118347,0.19370600581169128
97,0.15164415538311005,8.192858695983887,0.20611561834812164,1,0.0092133404687047,0.0544714517891407,,,
97,,,,1,,,0.1553480327129364,0.30918651819229126,0.15383848547935486
146,0.047938790172338486,13.194804191589355,0.07762329280376434,2,0.015877367928624153,0.029684502631425858,,,
146,,,,2,,,0.03582777455449104,0.13846462965011597,0.10263685137033463
