epoch,val loss1,val loss,step,val loss2,val_PSNR,val_SSIM,train loss2,train loss,train loss1
0,0.24469640851020813,0.38542452454566956,48,0.14072810113430023,8.517812728881836,0.010435447096824646,,,
0,,,48,,,,0.19370128214359283,0.46859145164489746,0.27489015460014343
1,0.054471470415592194,0.20641037821769714,97,0.15193890035152435,8.184432029724121,0.00917456578463316,,,
1,,,97,,,,0.15404236316680908,0.3093903958797455,0.1553480327129364
2,0.02968531847000122,0.07806359231472015,146,0.048378270119428635,13.155158996582031,0.015887092798948288,,,
2,,,146,,,,0.10284872353076935,0.13867656886577606,0.03582784906029701
